id,url,event,date,source,headline,type,sentiment_score,sentiment_label
,https://www.wsj.com/articles/svb-financial-pulls-capital-raise-explores-alternatives-including-possible-sale-sources-say-11de7522,SVB Collapse,3/10/2023,WSJ,"Silicon Valley Bank Closed by Regulators, FDIC Takes Control",Agreement,,Negative
,https://www.wsj.com/livecoverage/stock-market-news-today-03-09-2023/card/bets-against-banks-surge-893lva2CM2pO9iS0rF1O,SVB Collapse,3/10/2023,WSJ,Bets Against Banks Surge,Agreement,,Negative
,https://www.wsj.com/livecoverage/stock-market-news-today-03-10-2023/card/svb-stock-price-slides-another-29-premarket-gdGa9ANN0vNESUUorGqm,SVB Collapse,3/10/2023,WSJ,SVB Stock Halted After Sharp Selloff; Bank Exploring Possible Sale,Agreement,,Negative
,https://www.wsj.com/finance/banking/signature-bank-is-shut-by-regulators-after-svb-failure-a5f9e0f7,SVB Collapse,3/10/2023,WSJ,Signature Bank Is Shut by Regulators After SVB Collapse,Agreement,,Negative
,https://edition.cnn.com/videos/business/2023/03/10/exp-silicon-valley-bank-regulators-collapse-david-chiaverini-fst-031003pseg1-cnni-business.cnn,SVB Collapse,3/10/2023,CNN,Silicon Valley Bank collapse sparks contagion fears,Agreement,,Negative
,https://edition.cnn.com/2023/03/10/investing/svb-banking-crisis-what-next,SVB Collapse,3/10/2023,CNN,Silicon Valley Bank collapse has echoes of 2008. Here’s why things are different this time,Agreement,,Negative
,https://www.theguardian.com/us-news/2023/mar/10/silicon-valley-bank-collapse-explainer,SVB Collapse,3/10/2023,The Guardian,Why did Silicon Valley Bank fail?,Agreement,,Negative
,https://www.theguardian.com/business/2023/mar/10/european-markets-spooked-by-us-bank-shares-sell-off,SVB Collapse,3/10/2023,The Guardian,Silicon Valley Bank fails in largest bank collapse since 2008 crisis,Agreement,,Negative
,https://finance.yahoo.com/news/svb-collapse-highlights-620-billion-172512701.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAJo6sySEEXZjFFLsODC9pb7z61aHs2mm0hi0j2HqITNvr3i_JQjYurqjFORCjspAJ8wEZPZ5DJdUqvyu1o8zMhXXo3AciyTjDv_qO49Mb4cSb6bZc4RKsuYNNQXqRjBcXxRjg4dC3vyk7KzHDAeTuK7LuWDBQIVvucn2fFx-B-vS,SVB Collapse,3/10/2023,Yahoo Finance,SVB collapse highlights $620 billion hole lurking in banks’ balance sheets,Agreement,,Negative
,https://www.cnbc.com/2023/03/09/stock-market-today-live-updates.html,SVB Collapse,3/11/2023,CNBC,"Dow closes more than 300 points lower, posts worst week since June as Silicon Valley Bank collapse sparks selloff: Live updates",Agreement,,Negative
,https://www.cnn.com/2023/03/11/business/svb-collapse-roundup-takeaways,SVB Collapse,3/11/2023,CNN,Takeaways from America’s second-largest bank failure,Agreement,,Negative
,https://www.theguardian.com/business/2023/mar/11/silicon-valley-bank-weaken-risk-regulations-svb,SVB Collapse,3/11/2023,The Guardian,Silicon Valley Bank chief pressed Congress to weaken risk regulations,Agreement,,Negative
,https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_848a5005-55c5-49eb-ba53-c6da0dde4ea3,SVB Collapse,3/11/2023,Yahoo Finance,Thiel’s Founders Fund Withdrew Millions From Silicon Valley Bank,Agreement,,Negative
,https://www.cnn.com/2023/03/12/investing/stocks-week-ahead,SVB Collapse,3/12/2023,CNN,US banks sitting on unrealized losses of $620 billion,Agreement,,Negative
,https://www.theguardian.com/business/2023/mar/12/silicon-valley-bank-collapse-no-bailout-janet-yellen,SVB Collapse,3/12/2023,The Guardian,"US guarantees all deposits after Silicon Valley Bank collapse, as Biden promises action",Agreement,,Negative
,https://finance.yahoo.com/news/first-social-media-bank-run-160025190.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAJo6sySEEXZjFFLsODC9pb7z61aHs2mm0hi0j2HqITNvr3i_JQjYurqjFORCjspAJ8wEZPZ5DJdUqvyu1o8zMhXXo3AciyTjDv_qO49Mb4cSb6bZc4RKsuYNNQXqRjBcXxRjg4dC3vyk7KzHDAeTuK7LuWDBQIVvucn2fFx-B-vS,SVB Collapse,3/12/2023,Yahoo Finance,The first social media bank run? A newsletter popular with VCs may have been the domino that started the Silicon Valley Bank implosion,Agreement,,Negative
,https://finance.yahoo.com/news/regulators-seize-signature-bank-in-third-largest-us-bank-failure-231404695.html,SVB Collapse,3/12/2023,Yahoo Finance,Regulators seize Signature Bank in third-largest US bank failure,Agreement,,Negative
,https://www.theguardian.com/business/2023/mar/13/silicon-valley-bank-why-did-it-collapse-and-is-this-the-start-of-a-banking-crisis,SVB Collapse,3/13/2023,The Guardian,Silicon Valley Bank: why did it collapse and is this the start of a banking crisis?,Agreement,,Negative
,https://edition.cnn.com/2023/03/13/investing/svb-panic-china-companies-tycoons-intl-hnk,SVB Collapse,3/13/2023,CNN,Chinese companies and founders rush to calm investors after SVB collapse,Agreement,,Negative
,https://www.cnn.com/2023/03/13/business/svb-employees-angry-at-ceo,SVB Collapse,3/13/2023,CNN,‘Absolutely idiotic’. SVB insider says employees are angry with CEO,Agreement,,Negative
,https://www.theguardian.com/business/2023/mar/13/silicon-valley-bank-global-banking-shares-slide-as-fallout-spreads,SVB Collapse,3/13/2023,The Guardian,Silicon Valley Bank: global banking shares slide as fallout spreads,Agreement,,Negative
,https://finance.yahoo.com/news/silicon-valley-bank-implosion-shows-202929128.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAJo6sySEEXZjFFLsODC9pb7z61aHs2mm0hi0j2HqITNvr3i_JQjYurqjFORCjspAJ8wEZPZ5DJdUqvyu1o8zMhXXo3AciyTjDv_qO49Mb4cSb6bZc4RKsuYNNQXqRjBcXxRjg4dC3vyk7KzHDAeTuK7LuWDBQIVvucn2fFx-B-vS,SVB Collapse,3/13/2023,Yahoo Finance,"Silicon Valley Bank implosion shows why FDIC insurance is so important. Here’s how it works, and how it could be the key to protecting your money",Agreement,,Negative
,https://www.cnbc.com/2023/03/12/stock-market-futures-open-to-close-news.html,SVB Collapse,3/14/2023,CNBC,Dow falls for a fifth day despite emergency backstop of Silicon Valley Bank,Agreement,,Negative
,https://www.wsj.com/livecoverage/stock-market-news-today-03-14-2023-cpi-report-inflation-svb/card/fVOdFSUrWFlRlxBtqUfL,SVB Collapse,3/14/2023,WSJ,Investor Fear Hits Fever Pitch After Silicon Valley Bank Failure,Agreement,,Negative
,https://www.bbc.com/news/world-europe-60485766,Russia's invasion of Ukraine,2/23/2022,BBC,Russia-Ukraine crisis: How likely is it to escalate into broader war?,Agreement,,Negative
,https://www.reuters.com/world/europe/nato-leaves-black-sea-exposed-russia-invades-ukraine-2022-02-24/,Russia's invasion of Ukraine,2/24/2022,Reuters,Insight: NATO leaves Black Sea exposed as Russia invades Ukraine,Agreement,,Negative
,https://www.reuters.com/world/europe/mondelez-ceo-says-will-close-plants-russia-ukraine-if-becomes-too-dangerous-2022-02-23/,Russia's invasion of Ukraine,2/24/2022,Reuters,Mondelez CEO says will close plants in Ukraine if situation becomes 'too dangerous',Agreement,,Negative
,https://www.reuters.com/world/europe/russia-has-launched-full-scale-invasion-ukraine-kyiv-says-2022-02-24/,Russia's invasion of Ukraine,2/24/2022,Reuters,"Russia has launched full-scale invasion of Ukraine, Kyiv says",Agreement,,Negative
,https://www.bbc.com/news/world-europe-60503037,Russia's invasion of Ukraine,2/24/2022,BBC,Ukraine conflict: Russian forces attack from three sides,Agreement,,Negative
,https://www.bbc.com/news/world-europe-60507016,Russia's invasion of Ukraine,2/24/2022,BBC,"Ukraine conflict world reaction: Sanctions, refugees and fears of war",Agreement,,Negative
,https://www.bbc.com/news/world-us-canada-60499385,Russia's invasion of Ukraine,2/24/2022,BBC,Ukraine conflict: Why Biden won't send troops to Ukraine,Agreement,,Negative
,https://www.bbc.com/news/uk-60504204,Russia's invasion of Ukraine,2/24/2022,BBC,"Russia attack on Ukraine catastrophe for Europe, say Boris Johnson",Agreement,,Negative
